chk;ticket;proyecto;cliente;RUC;código circuito;Nombre de circuito;Servicio;Usuario responsable;Etapa;Área del usuario responsable;Fecha proyección de cierre;Motivo de Cambio;Estado;Motivo;Fecha de inicio;Fecha de cierre;Tiempo detenido(H:m:s);Tipo cliente;Coordinador;Gestor;Obra Civil;Actualización de planta;Evento;Demo;Prioridad;Id Factibilidad;factibilidad_soles;factibilidad_dolares;factibilidad_tc;provision_soles;provision_dolares;provision_tc;liquidacion_soles;liquidacion_dolares;liquidacion_tc;Avance;Sub Motivo
0;134227;0;ALIMENTOS CIELO S.A.C.;20517842517;82448;Carlos Villaran 611 - INT   - Enlace Principal;DID - LDN INBOUND;Job Pool;Provision;Aplicativo;2022-08-20;;En proceso;;2022-08-10 15:17:34;;00:00:00          <button id="btn_ver_detalle" padding=".25em .4em" onclick="verDetalleTiempo(134227)" align:"right"="" border-radius="0.40rem!important" color="#000" background-color="#9B9B9B" =""><b>Detalle</b></button>;PLATINUM;Daniel Bernal;Magda Quiroz;SI;NO;NO;NO;NO;;0.00;0;3.70;137.19;37.08;3.70;undefined;0;3.70;;
0;134223;0;ALIMENTOS CIELO S.A.C.;20517842517;82448;;Sip Trunk - Lima Inbound;Daniel Bernal;Contactar cliente y validar dimensionamiento;Instalaciones;2022-08-19;;Asignado;;2022-08-10 14:56:40;;00:00:00          <button id="btn_ver_detalle" padding=".25em .4em" onclick="verDetalleTiempo(134223)" align:"right"="" border-radius="0.40rem!important" color="#000" background-color="#9B9B9B" =""><b>Detalle</b></button>;PLATINUM;Daniel Bernal;Magda Quiroz;NO;NO;NO;NO;NO;;0.00;0;0.00;0.00;0.00;0.00;undefined;0;0.00;;
0;134204;0;ALIMENTOS CIELO S.A.C.;20517842517;82448;Carlos Villaran 611 - INT   - Enlace Principal;Sip Trunk - VLAN;Job Pool;Provision;Aplicativo;2022-08-27;;Asignado;;2022-08-09 17:26:23;;00:00:00          <button id="btn_ver_detalle" padding=".25em .4em" onclick="verDetalleTiempo(134204)" align:"right"="" border-radius="0.40rem!important" color="#000" background-color="#9B9B9B" =""><b>Detalle</b></button>;PLATINUM;Daniel Bernal;Magda Quiroz;SI;NO;NO;NO;NO;;0.00;0;0.00;0.00;0.00;0.00;undefined;0;0.00;;
0;134200;0;ALIMENTOS CIELO S.A.C.;20517842517;82448;;Sip Trunk - Lima Inbound;Job Pool;Provision;Aplicativo;2022-08-20;;Asignado;;2022-08-09 17:15:15;;00:00:00          <button id="btn_ver_detalle" padding=".25em .4em" onclick="verDetalleTiempo(134200)" align:"right"="" border-radius="0.40rem!important" color="#000" background-color="#9B9B9B" =""><b>Detalle</b></button>;PLATINUM;Daniel Bernal;Magda Quiroz;SI;NO;NO;NO;NO;;0.00;0;0.00;0.00;0.00;0.00;undefined;0;0.00;;
0;134196;0;ALIMENTOS CIELO S.A.C.;20517842517;82448;;DID - LDN INBOUND;Job Pool;Provision;Aplicativo;;;Asignado;;2022-08-09 16:49:40;;00:00:00          <button id="btn_ver_detalle" padding=".25em .4em" onclick="verDetalleTiempo(134196)" align:"right"="" border-radius="0.40rem!important" color="#000" background-color="#9B9B9B" =""><b>Detalle</b></button>;PLATINUM;Daniel Bernal;Magda Quiroz;SI;NO;NO;NO;NO;;0.00;0;3.70;137.19;37.08;3.70;undefined;0;3.70;;
0;134193;0;ALIMENTOS CIELO S.A.C.;20517842517;82448;;Sip Trunk - Lima Inbound;Job Pool;Provision;Aplicativo;2022-08-18;;Asignado;;2022-08-09 16:27:02;;00:00:00          <button id="btn_ver_detalle" padding=".25em .4em" onclick="verDetalleTiempo(134193)" align:"right"="" border-radius="0.40rem!important" color="#000" background-color="#9B9B9B" =""><b>Detalle</b></button>;PLATINUM;Daniel Bernal;Magda Quiroz;SI;NO;NO;NO;NO;;0.00;0;0.00;0.00;0.00;0.00;undefined;0;0.00;;
0;134167;0;ABASTECEDORA ALIMENTICIA S.A.C;20556138428;82448;;Central Virtual ON 20;disenio1;Provision;Provisión;2022-08-26;;Asignado;;2022-08-09 10:06:08;;00:00:00          <button id="btn_ver_detalle" padding=".25em .4em" onclick="verDetalleTiempo(134167)" align:"right"="" border-radius="0.40rem!important" color="#000" background-color="#9B9B9B" =""><b>Detalle</b></button>;GOLD;Daniel Bernal;Magda Quiroz;SI;NO;NO;NO;NO;;0.00;0;0.00;0.00;0.00;0.00;undefined;0;0.00;;
0;133946;133923;AUTOCOLOR CLASS S.A.C;20607678694;70901;- 0 - ISAC  - Primario;Internet Seguro Avanzado (Cloud);Job Pool;Provision;Aplicativo;2022-03-19;;Asignado;;2022-07-27 12:43:06;;00:00:00          <button id="btn_ver_detalle" padding=".25em .4em" onclick="verDetalleTiempo(133946)" align:"right"="" border-radius="0.40rem!important" color="#000" background-color="#9B9B9B" =""><b>Detalle</b></button>;GOLD;Daniel Bernal;Magda Quiroz;SI;NO;NO;NO;NO;37119;3420.00;900;3.80;121.04;1500.00;3.80;undefined;0;3.80;;
0;133902;133900;ALIMENTOS CIELO S.A.C.;20517842517;70901;;Internet Seguro Avanzado (Cloud);Daniel Bernal;Contactar cliente y validar dimensionamiento;Instalaciones;2022-03-19;;Asignado;Falta de stock / En proceso de compra;2022-07-26 17:48:56;;00:00:00          <button id="btn_ver_detalle" padding=".25em .4em" onclick="verDetalleTiempo(133902)" align:"right"="" border-radius="0.40rem!important" color="#000" background-color="#9B9B9B" =""><b>Detalle</b></button>;PLATINUM;Daniel Bernal;Magda Quiroz;NO;NO;NO;NO;NO;37119;0.00;10811.95;0.00;0.00;0.00;0.00;undefined;0;0.00;;
0;133901;133900;ALIMENTOS CIELO S.A.C.;20517842517;70903;;Internet Seguro Avanzado (Cloud);Job Pool;Provision;Aplicativo;2022-03-19;;Asignado;;2022-07-26 17:48:55;;00:00:00          <button id="btn_ver_detalle" padding=".25em .4em" onclick="verDetalleTiempo(133901)" align:"right"="" border-radius="0.40rem!important" color="#000" background-color="#9B9B9B" =""><b>Detalle</b></button>;PLATINUM;Daniel Bernal;Magda Quiroz;NO;NO;NO;NO;NO;37118;0.00;2884;0.00;0.00;0.00;0.00;undefined;0;0.00;;
0;132217;132083;EXPERTOS EN SOLUCIONES INTEGRALES TIC PERU S.A.C.- EXSOLIN S.A.C.;20606407751;84722;ANGAMOS ESTE 140 - INT   - Primario;Internet Dedicado;Job Pool;Provision;Aplicativo;2022-07-30;;Asignado;;2022-07-08 10:43:24;;00:00:00          <button id="btn_ver_detalle" padding=".25em .4em" onclick="verDetalleTiempo(132217)" align:"right"="" border-radius="0.40rem!important" color="#000" background-color="#9B9B9B" =""><b>Detalle</b></button>;GOLD;Rodrigo Chuquicana;Magda Quiroz;SI;NO;NO;NO;NO;129210;0.00;0;3.80;121.04;31.85;3.80;undefined;0;3.80;;
0;131900;130866;SYRUS DISTRIBUTION PERU S.A.C.;20603490372;83815;Del Pinar 152 152 - INT   - Enlace Principal;Internet Dedicado;Job Pool;Provision;Aplicativo;2022-07-30;;Asignado;;2022-07-07 15:12:40;;00:00:00          <button id="btn_ver_detalle" padding=".25em .4em" onclick="verDetalleTiempo(131900)" align:"right"="" border-radius="0.40rem!important" color="#000" background-color="#9B9B9B" =""><b>Detalle</b></button>;GOLD;Rodrigo Chuquicana;Magda Quiroz;SI;NO;NO;NO;NO;119094;0.00;2590;0.00;0.00;0.00;0.00;undefined;0;0.00;;
0;130971;130832;INDUSTRIAL TECHNOLOGY S.A.;20166378070;83898;LOS CALDEROS 237 - VDMDA;Central Virtual On Demand;Daniel Bernal;Contactar cliente y validar dimensionamiento;Instalaciones;2022-03-19;;Asignado;;2022-07-05 17:40:32;;00:00:00          <button id="btn_ver_detalle" padding=".25em .4em" onclick="verDetalleTiempo(130971)" align:"right"="" border-radius="0.40rem!important" color="#000" background-color="#9B9B9B" =""><b>Detalle</b></button>;PLATINUM;Rodrigo Chuquicana;Magda Quiroz;NO;NO;NO;NO;NO;;0.00;0;0.00;0.00;0.00;0.00;undefined;0;0.00;;
0;130921;130863;BENITES MALPICA RAUL HUMBERTO;10068827804;84718;CAMINO N°3 0 - INT   - Enlace Principal;Internet Dedicado;Daniel Bernal;Contactar cliente y validar dimensionamiento;Instalaciones;2022-03-19;;Asignado;Instalación paralizada por Gestión Comercial;2022-07-05 16:49:00;;00:00:00          <button id="btn_ver_detalle" padding=".25em .4em" onclick="verDetalleTiempo(130921)" align:"right"="" border-radius="0.40rem!important" color="#000" background-color="#9B9B9B" =""><b>Detalle</b></button>;GOLD;Rodrigo Chuquicana;Magda Quiroz;NO;NO;NO;NO;NO;123696;0.00;4086.24;0.00;0.00;0.00;0.00;undefined;0;0.00;;
0;124649;0;MEDICAL AUDICION PERU S.A.C.;20565520734;82448;;Central Virtual ON 30;Daniel Bernal;Contactar cliente y validar dimensionamiento;Instalaciones;2022-06-29;;Asignado;;2022-06-17 11:41:02;;00:00:00          <button id="btn_ver_detalle" padding=".25em .4em" onclick="verDetalleTiempo(124649)" align:"right"="" border-radius="0.40rem!important" color="#000" background-color="#9B9B9B" =""><b>Detalle</b></button>;GOLD;Daniel Bernal;Magda Quiroz;NO;NO;NO;NO;NO;;0.00;0;0.00;0.00;0.00;0.00;undefined;0;0.00;;
